email_id,agent_name,true_label,prediction,confidence,rag_retrieved_labels,rag_retrieved_ids
5179,linguistic_technical,legitimate,phishing,0.75,,
4443,linguistic_technical,phishing,phishing,0.75,,
14307,linguistic_technical,legitimate,legitimate,0.95,,
8204,linguistic_technical,legitimate,legitimate,0.95,,
2761,linguistic_technical,legitimate,legitimate,0.95,,
16567,linguistic_technical,legitimate,legitimate,0.95,,
11969,linguistic_technical,legitimate,legitimate,0.95,,
12111,linguistic_technical,legitimate,legitimate,0.95,,
13285,linguistic_technical,legitimate,legitimate,0.95,,
5548,linguistic_technical,legitimate,phishing,0.7,,
21284,linguistic_technical,legitimate,legitimate,0.95,,
24636,linguistic_technical,legitimate,legitimate,0.85,,
17313,linguistic_technical,phishing,phishing,0.85,,
24774,linguistic_technical,legitimate,legitimate,0.95,,
1684,linguistic_technical,legitimate,legitimate,0.95,,
7141,linguistic_technical,legitimate,legitimate,0.95,,
10800,linguistic_technical,legitimate,phishing,0.7,,
22621,linguistic_technical,phishing,phishing,0.85,,
10508,linguistic_technical,phishing,phishing,0.85,,
24193,linguistic_technical,phishing,phishing,0.75,,
26371,linguistic_technical,phishing,phishing,0.85,,
15789,linguistic_technical,phishing,phishing,0.75,,
5177,linguistic_technical,legitimate,phishing,0.85,,
20308,linguistic_technical,phishing,phishing,0.75,,
7858,linguistic_technical,legitimate,phishing,0.75,,
20616,linguistic_technical,phishing,phishing,0.85,,
25604,linguistic_technical,legitimate,phishing,0.75,,
14163,linguistic_technical,legitimate,legitimate,0.85,,
9749,linguistic_technical,phishing,phishing,0.85,,
6204,linguistic_technical,legitimate,phishing,0.75,,
3918,linguistic_technical,phishing,phishing,0.75,,
27324,linguistic_technical,phishing,legitimate,0.7,,
10499,linguistic_technical,phishing,phishing,0.75,,
17964,linguistic_technical,phishing,phishing,0.85,,
9858,linguistic_technical,phishing,phishing,0.75,,
21147,linguistic_technical,legitimate,legitimate,0.85,,
8852,linguistic_technical,legitimate,legitimate,0.95,,
29102,linguistic_technical,phishing,phishing,0.75,,
632,linguistic_technical,legitimate,legitimate,0.95,,
16484,linguistic_technical,legitimate,phishing,0.75,,
9295,linguistic_technical,phishing,phishing,0.85,,
16010,linguistic_technical,legitimate,phishing,0.75,,
60,linguistic_technical,legitimate,phishing,0.75,,
7120,linguistic_technical,legitimate,legitimate,0.95,,
10463,linguistic_technical,phishing,phishing,0.85,,
12771,linguistic_technical,legitimate,legitimate,0.95,,
7982,linguistic_technical,legitimate,legitimate,0.95,,
23993,linguistic_technical,phishing,phishing,0.75,,
26184,linguistic_technical,phishing,phishing,0.85,,
19179,linguistic_technical,phishing,phishing,0.75,,
13534,linguistic_technical,legitimate,legitimate,0.95,,
8617,linguistic_technical,legitimate,phishing,0.75,,
10097,linguistic_technical,phishing,phishing,0.85,,
4185,linguistic_technical,phishing,phishing,0.75,,
11826,linguistic_technical,legitimate,legitimate,0.95,,
13034,linguistic_technical,legitimate,legitimate,0.95,,
11506,linguistic_technical,legitimate,legitimate,0.95,,
29220,linguistic_technical,phishing,phishing,0.75,,
13690,linguistic_technical,legitimate,legitimate,0.95,,
19599,linguistic_technical,phishing,phishing,0.85,,
25291,linguistic_technical,legitimate,legitimate,0.95,,
7716,linguistic_technical,legitimate,legitimate,0.95,,
21163,linguistic_technical,legitimate,legitimate,0.95,,
24183,linguistic_technical,phishing,phishing,0.75,,
26433,linguistic_technical,phishing,phishing,0.75,,
21008,linguistic_technical,phishing,phishing,0.75,,
6549,linguistic_technical,legitimate,legitimate,0.85,,
8824,linguistic_technical,legitimate,legitimate,0.95,,
23785,linguistic_technical,phishing,phishing,0.85,,
22211,linguistic_technical,legitimate,legitimate,0.85,,
19400,linguistic_technical,phishing,phishing,0.75,,
20172,linguistic_technical,phishing,phishing,0.85,,
10935,linguistic_technical,legitimate,phishing,0.75,,
21954,linguistic_technical,legitimate,legitimate,0.95,,
9721,linguistic_technical,phishing,phishing,0.85,,
20065,linguistic_technical,phishing,phishing,0.75,,
6735,linguistic_technical,legitimate,legitimate,0.95,,
10843,linguistic_technical,legitimate,phishing,0.75,,
25333,linguistic_technical,legitimate,phishing,0.75,,
1716,linguistic_technical,legitimate,phishing,0.75,,
17536,linguistic_technical,phishing,phishing,0.85,,
17600,linguistic_technical,phishing,phishing,0.85,,
19985,linguistic_technical,phishing,phishing,0.85,,
8407,linguistic_technical,legitimate,legitimate,0.95,,
16062,linguistic_technical,legitimate,phishing,0.75,,
24097,linguistic_technical,phishing,phishing,0.75,,
12313,linguistic_technical,legitimate,legitimate,0.95,,
11432,linguistic_technical,legitimate,legitimate,0.95,,
2207,linguistic_technical,legitimate,phishing,0.75,,
7441,linguistic_technical,legitimate,phishing,0.75,,
345,linguistic_technical,legitimate,phishing,0.75,,
16219,linguistic_technical,legitimate,legitimate,0.95,,
7802,linguistic_technical,legitimate,phishing,0.75,,
25789,linguistic_technical,legitimate,legitimate,0.95,,
16836,linguistic_technical,legitimate,phishing,0.75,,
6093,linguistic_technical,legitimate,legitimate,0.95,,
13126,linguistic_technical,legitimate,phishing,0.85,,
25417,linguistic_technical,legitimate,legitimate,0.95,,
689,linguistic_technical,legitimate,legitimate,0.95,,
27894,linguistic_technical,phishing,phishing,0.85,,
12046,linguistic_technical,legitimate,legitimate,0.95,,
4503,linguistic_technical,phishing,phishing,0.75,,
15075,linguistic_technical,phishing,phishing,0.7,,
96,linguistic_technical,legitimate,legitimate,0.95,,
28842,linguistic_technical,phishing,phishing,0.75,,
12966,linguistic_technical,legitimate,legitimate,0.95,,
22857,linguistic_technical,phishing,phishing,0.75,,
3267,linguistic_technical,legitimate,legitimate,0.95,,
25744,linguistic_technical,legitimate,phishing,0.8,,
16105,linguistic_technical,legitimate,legitimate,0.95,,
25854,linguistic_technical,legitimate,legitimate,0.95,,
6183,linguistic_technical,legitimate,legitimate,0.95,,
24154,linguistic_technical,phishing,phishing,0.85,,
10427,linguistic_technical,phishing,phishing,0.85,,
27565,linguistic_technical,phishing,phishing,0.8,,
7099,linguistic_technical,legitimate,phishing,0.85,,
25323,linguistic_technical,legitimate,legitimate,0.95,,
1897,linguistic_technical,legitimate,legitimate,0.85,,
3312,linguistic_technical,legitimate,phishing,0.8,,
9681,linguistic_technical,phishing,phishing,0.85,,
11847,linguistic_technical,legitimate,legitimate,0.85,,
26963,linguistic_technical,phishing,phishing,0.85,,
11815,linguistic_technical,legitimate,legitimate,0.95,,
27947,linguistic_technical,phishing,phishing,0.75,,
21682,linguistic_technical,legitimate,legitimate,0.95,,
25387,linguistic_technical,legitimate,phishing,0.75,,
14224,linguistic_technical,legitimate,legitimate,0.95,,
22831,linguistic_technical,phishing,phishing,0.85,,
13805,linguistic_technical,legitimate,phishing,0.75,,
964,linguistic_technical,legitimate,phishing,0.75,,
21550,linguistic_technical,legitimate,legitimate,0.95,,
17446,linguistic_technical,phishing,phishing,0.85,,
27594,linguistic_technical,phishing,phishing,0.75,,
766,linguistic_technical,legitimate,legitimate,0.95,,
5359,linguistic_technical,legitimate,legitimate,0.95,,
10932,linguistic_technical,legitimate,legitimate,0.95,,
26559,linguistic_technical,phishing,phishing,0.85,,
8648,linguistic_technical,legitimate,legitimate,0.95,,
16622,linguistic_technical,legitimate,phishing,0.75,,
18571,linguistic_technical,phishing,phishing,0.85,,
4785,linguistic_technical,phishing,phishing,0.75,,
17149,linguistic_technical,legitimate,phishing,0.75,,
8136,linguistic_technical,legitimate,phishing,0.75,,
24842,linguistic_technical,legitimate,legitimate,0.95,,
17235,linguistic_technical,legitimate,phishing,0.75,,
26856,linguistic_technical,phishing,phishing,0.75,,
13963,linguistic_technical,legitimate,legitimate,0.95,,
26489,linguistic_technical,phishing,phishing,0.8,,
11710,linguistic_technical,legitimate,legitimate,0.85,,
25653,linguistic_technical,legitimate,legitimate,0.95,,
19405,linguistic_technical,phishing,phishing,0.85,,
10783,linguistic_technical,legitimate,legitimate,0.95,,
21765,linguistic_technical,legitimate,phishing,0.85,,
1905,linguistic_technical,legitimate,legitimate,0.95,,
26600,linguistic_technical,phishing,phishing,0.85,,
5487,linguistic_technical,legitimate,legitimate,0.95,,
7354,linguistic_technical,legitimate,legitimate,0.95,,
15180,linguistic_technical,phishing,phishing,0.85,,
29403,linguistic_technical,phishing,phishing,0.85,,
1544,linguistic_technical,legitimate,legitimate,0.95,,
2787,linguistic_technical,legitimate,legitimate,0.95,,
19076,linguistic_technical,phishing,phishing,0.85,,
3198,linguistic_technical,legitimate,legitimate,0.95,,
7059,linguistic_technical,legitimate,legitimate,0.7,,
2241,linguistic_technical,legitimate,legitimate,0.95,,
24665,linguistic_technical,legitimate,phishing,0.6,,
6469,linguistic_technical,legitimate,phishing,0.75,,
9888,linguistic_technical,phishing,phishing,0.85,,
17517,linguistic_technical,phishing,phishing,0.85,,
6615,linguistic_technical,legitimate,phishing,0.75,,
7916,linguistic_technical,legitimate,phishing,0.85,,
22126,linguistic_technical,legitimate,legitimate,0.95,,
28794,linguistic_technical,phishing,phishing,0.85,,
13318,linguistic_technical,legitimate,legitimate,0.95,,
26654,linguistic_technical,phishing,phishing,0.75,,
23304,linguistic_technical,phishing,phishing,0.85,,
22708,linguistic_technical,phishing,phishing,0.85,,
4278,linguistic_technical,phishing,phishing,0.75,,
6416,linguistic_technical,legitimate,phishing,0.7,,
16130,linguistic_technical,legitimate,legitimate,0.95,,
21841,linguistic_technical,legitimate,legitimate,0.95,,
23969,linguistic_technical,phishing,phishing,0.75,,
15609,linguistic_technical,phishing,phishing,0.75,,
9874,linguistic_technical,phishing,phishing,0.85,,
22342,linguistic_technical,legitimate,legitimate,0.95,,
15814,linguistic_technical,phishing,phishing,0.85,,
7768,linguistic_technical,legitimate,phishing,0.85,,
3680,linguistic_technical,phishing,phishing,0.85,,
29114,linguistic_technical,phishing,phishing,0.8,,
12094,linguistic_technical,legitimate,legitimate,0.95,,
15575,linguistic_technical,phishing,phishing,0.85,,
20868,linguistic_technical,phishing,phishing,0.85,,
14861,linguistic_technical,phishing,phishing,0.85,,
4825,linguistic_technical,phishing,phishing,0.75,,
29417,linguistic_technical,phishing,phishing,0.85,,
14171,linguistic_technical,legitimate,legitimate,0.95,,
8045,linguistic_technical,legitimate,legitimate,0.95,,
3956,linguistic_technical,phishing,phishing,0.85,,
7404,linguistic_technical,legitimate,legitimate,0.85,,
311,linguistic_technical,legitimate,legitimate,0.95,,
9188,linguistic_technical,phishing,phishing,0.75,,
4269,linguistic_technical,phishing,phishing,0.85,,
5551,linguistic_technical,legitimate,legitimate,0.95,,
1008,linguistic_technical,legitimate,legitimate,0.85,,
28035,linguistic_technical,phishing,phishing,0.85,,
16090,linguistic_technical,legitimate,phishing,0.75,,
6476,linguistic_technical,legitimate,phishing,0.6,,
17984,linguistic_technical,phishing,phishing,0.85,,
23473,linguistic_technical,phishing,phishing,0.75,,
23257,linguistic_technical,phishing,phishing,0.85,,
7411,linguistic_technical,legitimate,legitimate,0.95,,
16492,linguistic_technical,legitimate,legitimate,0.95,,
22303,linguistic_technical,legitimate,phishing,0.85,,
25905,linguistic_technical,legitimate,legitimate,0.95,,
13170,linguistic_technical,legitimate,legitimate,0.95,,
27370,linguistic_technical,phishing,phishing,0.85,,
13336,linguistic_technical,legitimate,phishing,0.85,,
26882,linguistic_technical,phishing,phishing,0.85,,
24171,linguistic_technical,phishing,phishing,0.75,,
1460,linguistic_technical,legitimate,legitimate,0.85,,
27649,linguistic_technical,phishing,phishing,0.75,,
11764,linguistic_technical,legitimate,legitimate,0.95,,
26877,linguistic_technical,phishing,phishing,0.7,,
24130,linguistic_technical,phishing,phishing,0.85,,
19960,linguistic_technical,phishing,phishing,0.8,,
8352,linguistic_technical,legitimate,phishing,0.75,,
22951,linguistic_technical,phishing,phishing,0.85,,
